Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,URL/Filename,Threat/Content Name,Category,Severity,Direction,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,contenttype,pcap_id,filedigest,cloud,url_idx,user_agent,filetype,xff,referer,sender,subject,recipient,reportid,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,file_url,Source VM UUID,Destination VM UUID,http_method,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,thr_category,contentver,sig_flags,SCTP Association ID,Payload Protocol ID,http_headers
1,2018/11/01 01:44:25,012801096083,THREAT,spyware,2049,2018/11/01 01:44:25,192.168.17.65,8.8.8.8,192.168.0.15,8.8.8.8,Outgoing Internet,,,dns,vsys1,Trust-L3,Untrust-L3,vlan,ethernet1/1,,2018/11/01 01:44:25,12338,1,51253,53,19776,53,0x402000,udp,alert,"",generic:c.px9y94.com(211332981),any,medium,client-to-server,497,0x2000000000000000,192.168.0.0-192.168.255.255,United States,0,,0,,,0,,,,,,,,0,0,0,0,0,,ELA-PA-220,,,,,0,,0,,N/A,dns-wildfire,AppThreat-4-30717,0x0,0,4294967295,
1,2018/10/04 21:46:35,012801096083,THREAT,spyware,2049,2018/10/04 21:46:35,192.168.17.140,8.8.8.8,192.168.0.15,8.8.8.8,Outgoing Internet,,,dns,vsys1,Trust-L3,Untrust-L3,vlan,ethernet1/1,,2018/10/04 21:46:35,14546,1,50312,53,22605,53,0x402000,udp,alert,"",212029575(212029575),any,medium,client-to-server,496,0x2000000000000000,192.168.0.0-192.168.255.255,United States,0,,0,,,0,,,,,,,,0,0,0,0,0,,ELA-PA-220,,,,,0,,0,,N/A,dns,AppThreat-2754-3263,0x0,0,4294967295,
1,2018/10/04 21:45:31,012801096083,THREAT,spyware,2049,2018/10/04 21:45:31,192.168.17.140,8.8.8.8,192.168.0.15,8.8.8.8,Outgoing Internet,,,dns,vsys1,Trust-L3,Untrust-L3,vlan,ethernet1/1,,2018/10/04 21:45:31,17254,1,54330,53,23081,53,0x402000,udp,alert,"",212029575(212029575),any,medium,client-to-server,495,0x2000000000000000,192.168.0.0-192.168.255.255,United States,0,,0,,,0,,,,,,,,0,0,0,0,0,,ELA-PA-220,,,,,0,,0,,N/A,dns,AppThreat-2754-3263,0x0,0,4294967295,
1,2018/10/04 21:15:55,012801096083,THREAT,spyware,2049,2018/10/04 21:15:55,192.168.17.140,8.8.8.8,192.168.0.15,8.8.8.8,Outgoing Internet,,,dns,vsys1,Trust-L3,Untrust-L3,vlan,ethernet1/1,,2018/10/04 21:15:55,15008,1,47692,53,41177,53,0x402000,udp,alert,"",212029575(212029575),any,medium,client-to-server,494,0x2000000000000000,192.168.0.0-192.168.255.255,United States,0,,0,,,0,,,,,,,,0,0,0,0,0,,ELA-PA-220,,,,,0,,0,,N/A,dns,AppThreat-2754-3263,0x0,0,4294967295,
1,2018/10/02 20:51:10,012801096083,THREAT,spyware,2049,2018/10/02 20:51:10,192.168.17.140,8.8.8.8,192.168.0.15,8.8.8.8,Outgoing Internet,,,dns,vsys1,Trust-L3,Untrust-L3,vlan,ethernet1/1,,2018/10/02 20:51:10,28751,1,57189,53,32582,53,0x402000,udp,alert,"",212029575(212029575),any,medium,client-to-server,493,0x2000000000000000,192.168.0.0-192.168.255.255,United States,0,,0,,,0,,,,,,,,0,0,0,0,0,,ELA-PA-220,,,,,0,,0,,N/A,dns,AppThreat-2752-3261,0x0,0,4294967295,
1,2018/10/01 12:34:33,012801096083,THREAT,spyware,2049,2018/10/01 12:34:33,192.168.17.140,8.8.8.8,192.168.0.15,8.8.8.8,Outgoing Internet,,,dns,vsys1,Trust-L3,Untrust-L3,vlan,ethernet1/1,,2018/10/01 12:34:33,29368,1,47177,53,2745,53,0x402000,udp,alert,"",212029575(212029575),any,medium,client-to-server,492,0x2000000000000000,192.168.0.0-192.168.255.255,United States,0,,0,,,0,,,,,,,,0,0,0,0,0,,ELA-PA-220,,,,,0,,0,,N/A,dns,AppThreat-2751-3260,0x0,0,4294967295,
1,2018/10/01 12:33:28,012801096083,THREAT,spyware,2049,2018/10/01 12:33:28,192.168.17.140,8.8.8.8,192.168.0.15,8.8.8.8,Outgoing Internet,,,dns,vsys1,Trust-L3,Untrust-L3,vlan,ethernet1/1,,2018/10/01 12:33:28,29502,1,47679,53,21716,53,0x402000,udp,alert,"",212029575(212029575),any,medium,client-to-server,491,0x2000000000000000,192.168.0.0-192.168.255.255,United States,0,,0,,,0,,,,,,,,0,0,0,0,0,,ELA-PA-220,,,,,0,,0,,N/A,dns,AppThreat-2751-3260,0x0,0,4294967295,
1,2018/08/13 12:17:52,012801096083,THREAT,spyware,2049,2018/08/13 12:17:52,192.168.17.28,65.153.18.66,192.168.0.15,65.153.18.66,Outgoing Internet,icarus,,web-browsing,vsys1,Trust-L3,Untrust-L3,vlan,ethernet1/1,,2018/08/13 12:17:52,11368,1,53768,80,26161,80,0x403000,tcp,alert,"pxlclnmdecom-a.akamaihd.net/javascripts/browserfp.min.js?templa",207681543(207681543),content-delivery-networks,medium,client-to-server,490,0x2000000000000000,192.168.0.0-192.168.255.255,United States,0,,0,,,1,,,,,,,,0,0,0,0,0,,ELA-PA-220,,,,,0,,0,,N/A,autogen,Antivirus-2702-3199,0x0,0,4294967295,
1,2018/07/03 14:26:37,012801096083,THREAT,vulnerability,1,2018/07/03 14:26:37,192.168.17.25,146.20.129.111,192.168.0.15,146.20.129.111,Outgoing Internet,,,web-browsing,vsys1,Trust-L3,Untrust-L3,vlan,ethernet1/1,,2018/07/03 14:26:37,61083,6,45090,80,7813,80,0x402000,tcp,alert,"ad",HTTP Unauthorized Brute Force Attack(40031),any,high,client-to-server,489,0x0,192.168.0.0-192.168.255.255,United States,0,,0,,,2,,,,,,,,0,0,0,0,0,,ELA-PA-220,,,,,0,,0,,N/A,brute-force,AppThreat-8036-4817,0x0,0,0,
1,2018/06/25 22:25:26,012801096083,THREAT,spyware,1,2018/06/25 22:25:26,192.168.17.140,8.8.8.8,192.168.0.15,8.8.8.8,Outgoing Internet,,,dns,vsys1,Trust-L3,Untrust-L3,vlan,ethernet1/1,,2018/06/25 22:25:26,5438,2,53078,53,6042,53,0x402000,udp,alert,"",199110171(199110171),any,medium,client-to-server,488,0x0,192.168.0.0-192.168.255.255,United States,0,,0,,,0,,,,,,,,0,0,0,0,0,,ELA-PA-220,,,,,0,,0,,N/A,dns-wildfire,AppThreat-3-59463,0x0,0,0,
